criterion,splitter,max_depth,max_features,random_state,ccp_alpha,min_impurity_decrease,test_size,train_acc,test_acc
gini,best,None,None,25939,0.0,0.0,0.3,1.0,0.9991807355824093
gini,best,None,15,25939,0.0,0.0,0.3,1.0,0.9991222166954384
gini,best,15,None,25939,0.0,0.0,0.3,0.9999184906985347,0.9992099950258946
gini,best,15,15,25939,0.0,0.0,0.3,0.9998683311284022,0.9993562922433216
gini,best,None,None,25939,0.0,1e-05,0.3,0.9996676928478723,0.9995318489042339
gini,best,None,15,25939,0.0,1e-05,0.3,0.999686502686672,0.9996049975129473
gini,best,15,None,25939,0.0,1e-05,0.3,0.9996676928478723,0.9995318489042339
gini,best,15,15,25939,0.0,1e-05,0.3,0.999686502686672,0.9996049975129473
gini,best,None,None,25939,1e-05,0.0,0.3,0.9997178524180048,0.999473330017263
gini,best,None,15,25939,1e-05,0.0,0.3,0.9996614229016058,0.9994879597390057
gini,best,15,None,25939,1e-05,0.0,0.3,0.9997178524180048,0.999473330017263
gini,best,15,15,25939,1e-05,0.0,0.3,0.9996614229016058,0.9994879597390057
gini,best,None,None,25939,1e-05,1e-05,0.3,0.9996676928478723,0.9995318489042339
gini,best,None,15,25939,1e-05,1e-05,0.3,0.999686502686672,0.9996049975129473
gini,best,15,None,25939,1e-05,1e-05,0.3,0.9996676928478723,0.9995318489042339
gini,best,15,15,25939,1e-05,1e-05,0.3,0.999686502686672,0.9996049975129473
gini,random,None,None,25939,0.0,0.0,0.3,1.0,0.9990783275302104
gini,random,None,15,25939,0.0,0.0,0.3,1.0,0.9991807355824093
gini,random,15,None,25939,0.0,0.0,0.3,0.9998369813970694,0.9993270327998361
gini,random,15,15,25939,0.0,0.0,0.3,0.9998307114508028,0.999283143634608
gini,random,None,None,25939,0.0,1e-05,0.3,0.9995485638688076,0.9994440705737777
gini,random,None,15,25939,0.0,1e-05,0.3,0.9993604654808108,0.9993709219650643
gini,random,15,None,25939,0.0,1e-05,0.3,0.9995485638688076,0.9994440705737777
gini,random,15,15,25939,0.0,1e-05,0.3,0.9993604654808108,0.9993709219650643
gini,random,None,None,25939,1e-05,0.0,0.3,0.9996049933852067,0.9994148111302923
gini,random,None,15,25939,1e-05,0.0,0.3,0.9995485638688076,0.9994440705737777
gini,random,15,None,25939,1e-05,0.0,0.3,0.999630073170273,0.999429440852035
gini,random,15,15,25939,1e-05,0.0,0.3,0.9995548338150742,0.9994440705737777
gini,random,None,None,25939,1e-05,1e-05,0.3,0.9995485638688076,0.9994440705737777
gini,random,None,15,25939,1e-05,1e-05,0.3,0.9993604654808108,0.9993709219650643
gini,random,15,None,25939,1e-05,1e-05,0.3,0.9995485638688076,0.9994440705737777
gini,random,15,15,25939,1e-05,1e-05,0.3,0.9993604654808108,0.9993709219650643
entropy,best,None,None,25939,0.0,0.0,0.3,1.0,0.9993270327998361
entropy,best,None,15,25939,0.0,0.0,0.3,1.0,0.9991368464171811
entropy,best,15,None,25939,0.0,0.0,0.3,0.9999561103761341,0.9993416625215789
entropy,best,15,15,25939,0.0,0.0,0.3,0.9999874601074669,0.9991661058606666
entropy,best,None,None,25939,0.0,1e-05,0.3,1.0,0.9993270327998361
entropy,best,None,15,25939,0.0,1e-05,0.3,1.0,0.9991368464171811
entropy,best,15,None,25939,0.0,1e-05,0.3,0.9999561103761341,0.9993416625215789
entropy,best,15,15,25939,0.0,1e-05,0.3,0.9999874601074669,0.9991661058606666
entropy,best,None,None,25939,1e-05,0.0,0.3,1.0,0.9993270327998361
entropy,best,None,15,25939,1e-05,0.0,0.3,1.0,0.9991368464171811
entropy,best,15,None,25939,1e-05,0.0,0.3,0.9999561103761341,0.9993416625215789
entropy,best,15,15,25939,1e-05,0.0,0.3,0.9999874601074669,0.9991661058606666
entropy,best,None,None,25939,1e-05,1e-05,0.3,1.0,0.9993270327998361
entropy,best,None,15,25939,1e-05,1e-05,0.3,1.0,0.9991368464171811
entropy,best,15,None,25939,1e-05,1e-05,0.3,0.9999561103761341,0.9993416625215789
entropy,best,15,15,25939,1e-05,1e-05,0.3,0.9999874601074669,0.9991661058606666
entropy,random,None,None,25939,0.0,0.0,0.3,1.0,0.9988735114258127
entropy,random,None,15,25939,0.0,0.0,0.3,1.0,0.9992977733563507
entropy,random,15,None,25939,0.0,0.0,0.3,0.999899680859735,0.9991514761389239
entropy,random,15,15,25939,0.0,0.0,0.3,0.9998808710209354,0.9993270327998361
entropy,random,None,None,25939,0.0,1e-05,0.3,0.9998244415045363,0.9991661058606666
entropy,random,None,15,25939,0.0,1e-05,0.3,0.9996363431165395,0.9994148111302923
entropy,random,15,None,25939,0.0,1e-05,0.3,0.9997805518806704,0.9992246247476373
entropy,random,15,15,25939,0.0,1e-05,0.3,0.9996363431165395,0.9994148111302923
entropy,random,None,None,25939,1e-05,0.0,0.3,1.0,0.9988735114258127
entropy,random,None,15,25939,1e-05,0.0,0.3,0.9999749202149337,0.9993124030780934
entropy,random,15,None,25939,1e-05,0.0,0.3,0.999899680859735,0.9991514761389239
entropy,random,15,15,25939,1e-05,0.0,0.3,0.9998808710209354,0.9993270327998361
entropy,random,None,None,25939,1e-05,1e-05,0.3,0.9998244415045363,0.9991661058606666
entropy,random,None,15,25939,1e-05,1e-05,0.3,0.9996363431165395,0.9994148111302923
entropy,random,15,None,25939,1e-05,1e-05,0.3,0.9997805518806704,0.9992246247476373
entropy,random,15,15,25939,1e-05,1e-05,0.3,0.9996363431165395,0.9994148111302923
log_loss,best,None,None,25939,0.0,0.0,0.3,1.0,0.9993270327998361
log_loss,best,None,15,25939,0.0,0.0,0.3,1.0,0.9991368464171811
log_loss,best,15,None,25939,0.0,0.0,0.3,0.9999561103761341,0.9993416625215789
log_loss,best,15,15,25939,0.0,0.0,0.3,0.9999874601074669,0.9991661058606666
log_loss,best,None,None,25939,0.0,1e-05,0.3,1.0,0.9993270327998361
log_loss,best,None,15,25939,0.0,1e-05,0.3,1.0,0.9991368464171811
log_loss,best,15,None,25939,0.0,1e-05,0.3,0.9999561103761341,0.9993416625215789
log_loss,best,15,15,25939,0.0,1e-05,0.3,0.9999874601074669,0.9991661058606666
log_loss,best,None,None,25939,1e-05,0.0,0.3,1.0,0.9993270327998361
log_loss,best,None,15,25939,1e-05,0.0,0.3,1.0,0.9991368464171811
log_loss,best,15,None,25939,1e-05,0.0,0.3,0.9999561103761341,0.9993416625215789
log_loss,best,15,15,25939,1e-05,0.0,0.3,0.9999874601074669,0.9991661058606666
log_loss,best,None,None,25939,1e-05,1e-05,0.3,1.0,0.9993270327998361
log_loss,best,None,15,25939,1e-05,1e-05,0.3,1.0,0.9991368464171811
log_loss,best,15,None,25939,1e-05,1e-05,0.3,0.9999561103761341,0.9993416625215789
log_loss,best,15,15,25939,1e-05,1e-05,0.3,0.9999874601074669,0.9991661058606666
log_loss,random,None,None,25939,0.0,0.0,0.3,1.0,0.9988735114258127
log_loss,random,None,15,25939,0.0,0.0,0.3,1.0,0.9992977733563507
log_loss,random,15,None,25939,0.0,0.0,0.3,0.999899680859735,0.9991514761389239
log_loss,random,15,15,25939,0.0,0.0,0.3,0.9998808710209354,0.9993270327998361
log_loss,random,None,None,25939,0.0,1e-05,0.3,0.9998244415045363,0.9991661058606666
log_loss,random,None,15,25939,0.0,1e-05,0.3,0.9996363431165395,0.9994148111302923
log_loss,random,15,None,25939,0.0,1e-05,0.3,0.9997805518806704,0.9992246247476373
log_loss,random,15,15,25939,0.0,1e-05,0.3,0.9996363431165395,0.9994148111302923
log_loss,random,None,None,25939,1e-05,0.0,0.3,1.0,0.9988735114258127
log_loss,random,None,15,25939,1e-05,0.0,0.3,0.9999749202149337,0.9993124030780934
log_loss,random,15,None,25939,1e-05,0.0,0.3,0.999899680859735,0.9991514761389239
log_loss,random,15,15,25939,1e-05,0.0,0.3,0.9998808710209354,0.9993270327998361
log_loss,random,None,None,25939,1e-05,1e-05,0.3,0.9998244415045363,0.9991661058606666
log_loss,random,None,15,25939,1e-05,1e-05,0.3,0.9996363431165395,0.9994148111302923
log_loss,random,15,None,25939,1e-05,1e-05,0.3,0.9997805518806704,0.9992246247476373
log_loss,random,15,15,25939,1e-05,1e-05,0.3,0.9996363431165395,0.9994148111302923
